DateRange,INVertor Power (MW),SoC
04.01.2024 00:15 - 04.01.2024 00:30,0.00,75.00
04.01.2024 00:30 - 04.01.2024 00:45,0.00,75.00
04.01.2024 00:45 - 04.01.2024 01:00,0.00,75.00
04.01.2024 01:00 - 04.01.2024 01:15,0.00,75.00
04.01.2024 01:15 - 04.01.2024 01:30,0.00,75.00
04.01.2024 01:30 - 04.01.2024 01:45,0.00,75.00
04.01.2024 01:45 - 04.01.2024 02:00,0.00,75.00
04.01.2024 02:00 - 04.01.2024 02:15,1.32,75.31
04.01.2024 02:15 - 04.01.2024 02:30,1.32,75.63
04.01.2024 02:30 - 04.01.2024 02:45,1.32,75.94
04.01.2024 02:45 - 04.01.2024 03:00,1.32,76.25
04.01.2024 03:00 - 04.01.2024 03:15,25.00,82.19
04.01.2024 03:15 - 04.01.2024 03:30,25.00,88.13
04.01.2024 03:30 - 04.01.2024 03:45,25.00,94.06
04.01.2024 03:45 - 04.01.2024 04:00,25.00,100.00
04.01.2024 04:00 - 04.01.2024 04:15,0.00,100.00
04.01.2024 04:15 - 04.01.2024 04:30,0.00,100.00
04.01.2024 04:30 - 04.01.2024 04:45,0.00,100.00
04.01.2024 04:45 - 04.01.2024 05:00,0.00,100.00
04.01.2024 05:00 - 04.01.2024 05:15,0.00,100.00
04.01.2024 05:15 - 04.01.2024 05:30,0.00,100.00
04.01.2024 05:30 - 04.01.2024 05:45,0.00,100.00
04.01.2024 05:45 - 04.01.2024 06:00,0.00,100.00
04.01.2024 06:00 - 04.01.2024 06:15,0.00,100.00
04.01.2024 06:15 - 04.01.2024 06:30,0.00,100.00
04.01.2024 06:30 - 04.01.2024 06:45,0.00,100.00
04.01.2024 06:45 - 04.01.2024 07:00,0.00,100.00
04.01.2024 07:00 - 04.01.2024 07:15,0.00,100.00
04.01.2024 07:15 - 04.01.2024 07:30,0.00,100.00
04.01.2024 07:30 - 04.01.2024 07:45,0.00,100.00
04.01.2024 07:45 - 04.01.2024 08:00,0.00,100.00
04.01.2024 08:00 - 04.01.2024 08:15,0.00,100.00
04.01.2024 08:15 - 04.01.2024 08:30,0.00,100.00
04.01.2024 08:30 - 04.01.2024 08:45,0.00,100.00
04.01.2024 08:45 - 04.01.2024 09:00,0.00,100.00
04.01.2024 09:00 - 04.01.2024 09:15,0.00,100.00
04.01.2024 09:15 - 04.01.2024 09:30,0.00,100.00
04.01.2024 09:30 - 04.01.2024 09:45,0.00,100.00
